romantic comedy Q860626,fantasy film Q157394,dystopian films Q20443008,children’s film Q2143665,coming-of-age film (Q102429885),martial arts film (Q1033891),historical film ,Adventure films
https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E6%83%8A%E5%A5%87,https://zh.wikipedia.org/wiki/%E4%B8%8D%E6%AD%BB%E5%8A%AB,https://zh.wikipedia.org/wiki/%E5%81%BD%E8%83%BD%E5%8F%9B%E8%AE%8A,https://zh.wikipedia.org/wiki/%E5%8A%A0%E6%B2%B9%E5%8D%B0%E5%BA%A6%EF%BC%81,https://zh.wikipedia.org/wiki/%E4%BD%A0%E4%BB%96%E5%AA%BD%E7%9A%84%E4%B9%9F%E6%98%AF,https://zh.wikipedia.org/wiki/%E4%B8%8D%E4%BA%8C%E7%A5%9E%E6%8E%A2,https://zh.wikipedia.org/wiki/%E4%BB%96%E5%80%91%E5%85%88%E6%AE%BA%E4%BA%86%E6%88%91%E7%88%B6%E8%A6%AA%EF%BC%9A%E6%9F%AC%E5%9F%94%E5%AF%A8%E5%A5%B3%E5%AD%A9%E7%9A%84%E5%9B%9E%E6%86%B6,https://zh.wikipedia.org/wiki/%E9%BE%90%E8%B2%9D%E6%9C%AB%E6%97%A5%EF%BC%9A%E5%A4%A9%E7%81%AB%E7%84%9A%E5%9F%8E
https://zh.wikipedia.org/wiki/%E4%B8%8A%E7%8F%AD%E5%A5%B3%E9%83%8E,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9C%8B%E8%B6%85%E4%BA%BA,https://zh.wikipedia.org/wiki/%E5%82%BB%E7%93%9C%E5%A4%A7%E9%97%B9%E7%A7%91%E5%AD%A6%E5%9F%8E,https://zh.wikipedia.org/wiki/%E5%8C%97%E5%9B%BD%E8%B5%B0%E4%B8%80%E9%81%AD,https://zh.wikipedia.org/wiki/%E4%BD%A0%E7%85%A7%E4%BA%AE%E6%88%91%E7%9A%84%E7%94%9F%E5%91%BD,https://zh.wikipedia.org/wiki/%E4%B8%9C%E4%BA%AC%E6%94%BB%E7%95%A5,https://zh.wikipedia.org/wiki/%E4%BC%AA%E9%92%9E%E5%88%B6%E9%80%A0%E8%80%85,https://zh.wikipedia.org/wiki/%E9%BE%8D%E9%96%80%E9%A3%9B%E7%94%B2_(%E9%9B%BB%E5%BD%B1)
https://zh.wikipedia.org/wiki/%E4%B8%8D%E8%A7%81%E4%B8%8D%E6%95%A3_(%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%BA%8C%E4%BB%A3%E5%A6%96%E7%B2%BE%E4%B9%8B%E4%BB%8A%E7%94%9F%E6%9C%89%E5%B9%B8,https://zh.wikipedia.org/wiki/%E5%85%A8%E9%9D%A2%E5%9B%9E%E5%BF%86,https://zh.wikipedia.org/wiki/%E5%8C%B9%E8%AF%BA%E6%9B%B93000,https://zh.wikipedia.org/wiki/%E4%BF%9D%E9%80%81%E5%85%A5%E5%AD%B8,https://zh.wikipedia.org/wiki/%E4%B8%9C%E9%82%AA%E8%A5%BF%E6%AF%92,https://zh.wikipedia.org/wiki/%E4%BE%86%E8%87%AA%E7%A1%AB%E7%A3%BA%E5%B3%B6%E7%9A%84%E4%BF%A1,https://zh.wikipedia.org/wiki/%E9%BE%8D%E5%85%84%E8%99%8E%E5%BC%9F_(1987%E5%B9%B4%E9%9B%BB%E5%BD%B1)
https://zh.wikipedia.org/wiki/%E4%B8%8E%E6%88%91%E5%90%8C%E8%A1%8C,https://zh.wikipedia.org/wiki/%E4%BA%9E%E7%91%9F%EF%BC%9A%E7%8E%8B%E8%80%85%E4%B9%8B%E5%8A%8D,https://zh.wikipedia.org/wiki/%E5%85%A8%E9%9D%A2%E5%9B%9E%E5%BF%86_(2012%E5%B9%B4%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%8D%81%E6%9C%88%E7%9A%84%E5%A4%A9%E7%A9%BA,https://zh.wikipedia.org/wiki/%E5%81%B7%E9%A6%99,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%B8%88%E5%A4%AB,https://zh.wikipedia.org/wiki/%E4%BE%8D_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E9%BB%91%E9%AD%94%E5%A5%B32
https://zh.wikipedia.org/wiki/%E4%B8%8E%E6%88%91%E7%BB%93%E5%A9%9A,https://zh.wikipedia.org/wiki/%E4%BA%BA%E9%AC%BC%E6%83%85%E6%9C%AA%E4%BA%86,https://zh.wikipedia.org/wiki/%E5%85%A8%E9%9D%A2%E9%80%B2%E5%8C%96,https://zh.wikipedia.org/wiki/%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%EF%BC%9A%E6%B6%88%E5%A4%B1%E7%9A%84%E5%AF%86%E5%AE%A4_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%85%84%E5%BC%9F%E6%83%85%E4%BA%BA,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%97%E6%B5%B7%E4%BF%9D%E9%91%A3,https://zh.wikipedia.org/wiki/%E4%BF%9D%E5%8D%AB%E5%AF%9F%E9%87%8C%E6%B4%A5,https://zh.wikipedia.org/wiki/%E9%BB%91%E8%B1%B9_(%E9%9B%BB%E5%BD%B1)
https://zh.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E5%B0%BD%E5%A4%B4_(%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%BA%BA%E9%AC%BC%E7%A5%9E,https://zh.wikipedia.org/wiki/%E5%85%B5%E4%BA%BA,https://zh.wikipedia.org/wiki/%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%EF%BC%9A%E7%81%AB%E7%9B%83%E7%9A%84%E8%80%83%E9%A9%97_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%85%B3%E4%BA%8E%E8%8E%89%E8%8E%89%E5%91%A8%E7%9A%84%E4%B8%80%E5%88%87,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9C%8B%E8%B6%85%E4%BA%BA,https://zh.wikipedia.org/wiki/%E5%85%AB%E4%BD%B0,https://zh.wikipedia.org/wiki/%E9%BB%91%E7%8D%84%E4%BA%A1%E9%AD%82
https://zh.wikipedia.org/wiki/%E4%B8%AD%E7%92%B0%E8%8B%B1%E9%9B%84_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%BA%BA%E9%AD%9A%E5%85%AC%E4%B8%BB%E7%9A%84%E6%84%9B%E6%83%85%E9%AD%94%E6%B3%95,https://zh.wikipedia.org/wiki/%E5%86%B3%E6%88%98%E7%8C%A9%E7%90%83_(1973%E5%B9%B4%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%EF%BC%9A%E7%A5%9E%E7%A7%98%E7%9A%84%E9%AD%94%E6%B3%95%E7%9F%B3_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%86%8D%E7%94%9F%E7%B7%A3_(1965%E5%B9%B4%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%AD%E7%92%B0%E8%8B%B1%E9%9B%84_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%85%AB%E5%93%A5%E7%8C%B4_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E9%BB%91%E6%B5%B7%E6%BD%9B%E8%88%AA%EF%BC%9A%E8%BF%BD%E6%93%8A20%E5%84%84
https://zh.wikipedia.org/wiki/%E4%B8%BA%E5%AD%90%E6%90%AC%E8%BF%81,https://zh.wikipedia.org/wiki/%E4%BA%BA%E9%B1%BC%E5%B8%9D%E5%9B%BD,https://zh.wikipedia.org/wiki/%E5%88%86%E6%AD%A7%E8%80%85%C2%B7%E7%95%B0%E9%A1%9E%E5%8F%9B%E9%80%83,https://zh.wikipedia.org/wiki/%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%EF%BC%9A%E9%B3%B3%E5%87%B0%E6%9C%83%E7%9A%84%E5%AF%86%E4%BB%A4_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%86%8D%E8%A6%8B%E5%88%97%E5%AF%A7,https://zh.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E8%B3%AD%E4%BF%A0,https://zh.wikipedia.org/wiki/%E5%86%AC%E7%8D%85,https://zh.wikipedia.org/wiki/%E9%BB%91%E6%B4%9E%E8%A1%A8%E9%9D%A2
https://zh.wikipedia.org/wiki/%E4%B8%BD%E4%BA%BA%E8%A1%8C_(1967%E5%B9%B4%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%BB%8A%E5%A4%A9%E6%9A%AB%E6%99%82%E5%81%9C%E6%AD%A2,https://zh.wikipedia.org/wiki/%E5%88%86%E6%AD%A7%E8%80%852%EF%BC%9A%E5%8F%9B%E4%BA%82%E8%80%85,https://zh.wikipedia.org/wiki/%E5%93%A5%E5%90%89%E6%8B%89%C2%B7%E8%BF%B7%E4%BD%A0%E6%8B%89%C2%B7%E5%8A%A0%E5%B7%B4%E6%8B%89_%E5%85%A8%E9%AB%94%E6%80%AA%E7%8D%B8%E5%A4%A7%E9%80%B2%E6%93%8A,https://zh.wikipedia.org/wiki/%E5%87%B1%E6%96%AF,https://zh.wikipedia.org/wiki/%E4%B9%89%E8%83%86%E9%9B%84%E5%BF%83_(%E9%A6%99%E6%B8%AF%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%86%B3%E8%83%9C%E6%97%B6%E5%88%BB_(%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E9%BB%91%E5%AF%A1%E5%A9%A6_(%E9%9B%BB%E5%BD%B1)
https://zh.wikipedia.org/wiki/%E4%B9%8C%E4%BA%91%E8%83%8C%E5%90%8E%E7%9A%84%E5%B9%B8%E7%A6%8F%E7%BA%BF,https://zh.wikipedia.org/wiki/%E4%BB%A5%E8%97%8F_(%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%88%86%E6%AD%A7%E8%80%853%EF%BC%9A%E8%B5%A4%E8%AA%A0%E8%80%85,https://zh.wikipedia.org/wiki/%E5%96%9C%E7%BE%8A%E7%BE%8A%E4%B8%8E%E7%81%B0%E5%A4%AA%E7%8B%BC%E4%B9%8B%E7%89%9B%E6%B0%94%E5%86%B2%E5%A4%A9,https://zh.wikipedia.org/wiki/%E5%87%B6%E9%9D%88,https://zh.wikipedia.org/wiki/%E4%B9%9D%E4%B8%80%E7%A5%9E%E9%B5%B0%E4%BF%A0%E4%BE%B6,https://zh.wikipedia.org/wiki/%E5%87%BA%E5%9F%83%E5%8F%8A%E8%A8%98%EF%BC%9A%E5%A4%A9%E5%9C%B0%E7%8E%8B%E8%80%85,https://zh.wikipedia.org/wiki/%E9%BB%91%E5%A4%9C%E5%B9%BD%E7%81%B5
